time,x,y,z
22:12.7,0.73167,1.07296,-1.47413
22:12.9,0.72449,0.94723,-1.47772
22:13.1,0.63348,0.99632,-1.46335
22:13.3,0.69096,0.99992,-1.43222
22:13.5,0.61312,0.97716,-1.34959
22:13.7,0.82388,0.958,-1.36396
22:13.9,0.75802,0.91729,-1.46814
22:14.1,0.67898,0.99513,-1.45976
22:14.3,0.6718,0.94603,-1.44539
22:14.5,0.54965,0.99992,-1.42024
22:14.7,0.66581,0.93884,-1.3927
22:14.9,0.66102,0.94603,-1.49329
22:15.1,0.62629,0.92088,-1.4897
22:15.3,0.70892,0.92687,-1.49688
22:15.5,0.62749,0.92926,-1.4394
22:15.7,0.71251,0.97237,-1.59029
22:15.9,0.67419,0.93645,-1.48251
22:16.1,0.64306,0.95202,-1.46575
22:16.3,0.74006,0.98315,-1.48131
22:16.5,0.73167,1.01309,-1.44539
22:16.7,0.60114,1.04303,-1.38072
22:16.9,0.68617,0.98076,-1.51005
22:17.1,0.65863,0.91968,-1.36995
22:17.3,0.63108,0.94363,-1.49688
22:17.5,0.70413,0.87897,-1.56155
22:17.7,0.7173,0.96758,-1.50646
22:17.9,0.70054,0.92807,-1.37953
22:18.1,0.6706,0.99872,-1.4873
22:18.3,0.75203,0.94124,-1.38312
22:18.5,0.65503,0.96519,-1.40348
22:18.7,0.6706,0.89094,-1.42862
22:18.9,0.59995,0.94004,-1.35797
22:19.1,0.60593,1.00111,-1.42264
22:19.3,0.63707,0.9616,-1.42024
22:19.5,0.67539,0.94842,-1.5388
22:19.7,0.57839,0.83346,-1.37354
22:19.9,0.80592,0.93046,-1.51365
22:20.1,0.576,0.97237,-1.47652
22:20.3,0.67419,0.99153,-1.40827
22:20.5,0.63587,1.0083,-1.42623
22:20.7,0.71251,0.99153,-1.41545
22:20.9,0.66581,0.92807,-1.47772
22:21.1,0.58677,0.90411,-1.47652
22:21.3,0.73527,0.93525,-1.40228
22:21.5,0.58438,0.99034,-1.3939
22:21.7,0.68377,0.94962,-1.49568
22:21.9,0.6251,0.91849,-1.47413
22:22.1,0.63228,0.98435,-1.40467
22:22.3,0.6706,0.97477,-1.38432
22:22.5,0.72688,1.0071,-1.59029
22:22.7,0.72209,0.97237,-1.35797
22:22.9,0.72569,0.94004,-1.47652
22:23.1,0.68737,0.98674,-1.3927
22:23.3,0.64905,0.97836,-1.47054
22:23.5,0.59276,0.93765,-1.51365
22:23.7,0.7185,0.89813,-1.48131
22:23.9,0.7676,0.99513,-1.54359
22:24.1,0.69814,1.0095,-1.4406
22:24.3,0.64665,0.95681,-1.41665
22:24.5,0.64545,0.96399,-1.51005
22:24.7,0.66821,0.97357,-1.46694
22:24.9,0.69934,1.0059,-1.48251
22:25.1,0.72329,0.97956,-1.46934
22:25.3,0.58079,0.96998,-1.35438
22:25.5,0.65623,0.90411,-1.36995
22:25.7,0.673,0.91968,-1.4394
22:25.9,0.66461,0.91489,-1.50407
22:26.1,0.64066,0.93525,-1.43102
22:26.3,0.64785,1.01309,-1.52083
22:26.5,0.7688,0.94842,-1.40707
22:26.7,0.72329,0.91968,-1.51604
22:26.9,0.63348,0.96399,-1.36516
22:27.1,0.73527,0.97357,-1.37114
22:27.3,0.71012,1.0095,-1.50407
22:27.5,0.72688,0.88495,-1.4394
22:28.0,0.73646,0.96639,-1.34839
22:28.2,0.6251,0.88615,-1.47054
22:28.4,0.67539,0.94962,-1.40707
22:28.7,0.61911,0.94483,-1.43461
22:28.9,0.65264,0.92807,-1.39629
22:29.1,0.70653,0.93645,-1.43461
22:29.3,0.65384,0.94004,-1.46096
22:29.5,0.62629,0.99632,-1.50646
